         Name: <Bhageria, Yadu>
          CID: <00733164>
   LIBRARY NO: <0246618471>
Email Address: <yrb13@ic.ac.uk>
  Course Code: <M3SC>
 T,     P,        V_ideal, V that satify the Van Der Waals cubic equation
40,  19.5,   0.1683236923,   0.0294277905
40,    20,   0.1641156000,   0.0293257428
40,  20.5,   0.1601127805,   0.0292274165
40,    21,   0.1563005714,   0.0291325424
40,  21.5,   0.1526656744,   0.0290408800
40,    22,   0.1491960000,   0.0289522140
40,  22.5,   0.1458805333,   0.0288663506
40,    23,   0.1427092174,   0.0287831147
40,  23.5,   0.1396728511,   0.0287023476
40,    24,   0.1367630000,   0.0286239048
40,  24.5,   0.1339719184,   0.0285476547
40,    25,   0.1312924800,   0.0284734765
40,  25.5,   0.1287181176,   0.0284012596
40,    26,   0.1262427692,   0.0283309022
40,  26.5,   0.1238608302,   0.0282623103
40,    27,   0.1215671111,   0.0281953972
40,  27.5,   0.1193568000,   0.0281300823
40,    28,   0.1172254286,   0.0280662911
40,  28.5,   0.1151688421,   0.0280039539
40,    29,   0.1131831724,   0.0279430063
40,  29.5,   0.1112648136,   0.0278833877
40,    30,   0.1094104000,   0.0278250417
45,     1,   3.6926010000,   3.6514954568
45,   1.5,   2.4617340000,   2.4204343316
45,     2,   1.8463005000,   1.8048028457
45,   2.5,   1.4770404000,   1.4353407517
45,     3,   1.2308670000,   1.1889611934
45,   3.5,   1.0550288571,   1.0129125625
45,     4,   0.9231502500,   0.8808189623
45,   4.5,   0.8205780000,   0.7780270277
45,     5,   0.7385202000,   0.6957446536
45,   5.5,   0.6713820000,   0.6283767789
45,     6,   0.6154335000,   0.5721932789
45,   6.5,   0.5680924615,   0.5246116748
45,     7,   0.5275144286,   0.4837872539
45,   7.5,   0.4923468000,   0.4483671400
45,     8,   0.4615751250,   0.4173365874
45,   8.5,   0.4344236471,   0.3899195223
45,     9,   0.4102890000,   0.3655122372
45,   9.5,   0.3886948421,   0.3436380222
45,    10,   0.3692601000,   0.3239154059
45,  10.5,   0.3516762857,   0.3060354689
45,    11,   0.3356910000,   0.2897453440
45,  11.5,   0.3210957391,   0.2748360178
45,    12,   0.3077167500,   0.2611331812
45,  12.5,   0.2954080800,   0.2484902732
45,    13,   0.2840462308,   0.2367831277
45,  13.5,   0.2735260000,   0.2259058076
45,    14,   0.2637572143,   0.2157673276
45,  14.5,   0.2546621379,   0.2062890522
45,    15,   0.2461734000,   0.1974026093
45,  15.5,   0.2382323226,   0.1890482019
45,    16,   0.2307875625,   0.1811732308
45,  16.5,   0.2237940000,   0.1737311594
45,    17,   0.2172118235,   0.1666805691
45,  17.5,   0.2110057714,   0.1599843646
45,    18,   0.2051445000,   0.1536090967
45,  18.5,   0.1996000541,   0.1475243748
45,    19,   0.1943474211,   0.1417023468
45,  19.5,   0.1893641538,   0.1361172245
45,    20,   0.1846300500,   0.1307448350
45,  20.5,   0.1801268780,   0.1255621730
45,    21,   0.1758381429,   0.1205469279
45,  21.5,   0.1717488837,   0.1156769443
45,    22,   0.1678455000,   0.1109295595
45,  22.5,   0.1641156000,   0.1062807203
45,    23,   0.1605478696,   0.1017037103
45,  23.5,   0.1571319574,   0.0971671707
45,    24,   0.1538583750,   0.0926317615
45,  24.5,   0.1507184082,   0.0880439993
45,    25,   0.1477040400,   0.0833235187
45,  25.5,   0.1448078824,   0.0783323080
45,    26,   0.1420231154,   0.0727797386
45,  26.5,   0.1393434340,   0.0657407863
45,    27,   0.1367630000,   0.0434047353
45,  27.5,   0.1342764000,   0.0407446455
45,    28,   0.1318786071,   0.0393562568
45,  28.5,   0.1295649474,   0.0383851980
45,    29,   0.1273310690,   0.0376314331
45,  29.5,   0.1251729153,   0.0370128905
45,    30,   0.1230867000,   0.0364872672
50,     1,   4.1028900000,   4.0677140334
50,   1.5,   2.7352600000,   2.6999669873
50,     2,   2.0514450000,   2.0160333508
50,   2.5,   1.6411560000,   1.6056240836
50,     3,   1.3676300000,   1.3319761436
50,   3.5,   1.1722542857,   1.1364767731
50,     4,   1.0257225000,   0.9898195698
50,   4.5,   0.9117533333,   0.8757231772
50,     5,   0.8205780000,   0.7844187608
50,   5.5,   0.7459800000,   0.7096897697
50,     6,   0.6838150000,   0.6473918180
50,   6.5,   0.6312138462,   0.5946556966
50,     7,   0.5861271429,   0.5494319528
50,   7.5,   0.5470520000,   0.5102176368
50,     8,   0.5128612500,   0.4758855188
50,   8.5,   0.4826929412,   0.4455735822
50,     9,   0.4558766667,   0.4186113523
50,   9.5,   0.4318831579,   0.3944694899
50,    10,   0.4102890000,   0.3727245062
50,  10.5,   0.3907514286,   0.3530335596
50,    11,   0.3729900000,   0.3351161254
50,  11.5,   0.3567730435,   0.3187404483
50,    12,   0.3419075000,   0.3037133807
50,  12.5,   0.3282312000,   0.2898726601
50,    13,   0.3156069231,   0.2770809686
50,  13.5,   0.3039177778,   0.2652213126
50,    14,   0.2930635714,   0.2541933921
50,  14.5,   0.2829579310,   0.2439107212
50,    15,   0.2735260000,   0.2342983247
50,  15.5,   0.2647025806,   0.2252908801
50,    16,   0.2564306250,   0.2168312081
50,  16.5,   0.2486600000,   0.2088690371
50,    17,   0.2413464706,   0.2013599861
50,  17.5,   0.2344508571,   0.1942647213
50,    18,   0.2279383333,   0.1875482540
50,  18.5,   0.2217778378,   0.1811793507
50,    19,   0.2159415789,   0.1751300383
50,  19.5,   0.2104046154,   0.1693751833
50,    20,   0.2051445000,   0.1638921350
50,  20.5,   0.2001409756,   0.1586604208
50,    21,   0.1953757143,   0.1536614846
50,  21.5,   0.1908320930,   0.1488784611
50,    22,   0.1864950000,   0.1442959820
50,  22.5,   0.1823506667,   0.1399000064
50,    23,   0.1783865217,   0.1356776742
50,  23.5,   0.1745910638,   0.1316171776
50,    24,   0.1709537500,   0.1277076491
50,  24.5,   0.1674648980,   0.1239390620
50,    25,   0.1641156000,   0.1203021445
50,  25.5,   0.1608976471,   0.1167883026
50,    26,   0.1578034615,   0.1133895529
50,  26.5,   0.1548260377,   0.1100984635
50,    27,   0.1519588889,   0.1069081016
50,  27.5,   0.1491960000,   0.1038119885
50,    28,   0.1465317857,   0.1008040612
50,  28.5,   0.1439610526,   0.0978786398
50,    29,   0.1414789655,   0.0950304026
50,  29.5,   0.1390810169,   0.0922543680
50,    30,   0.1367630000,   0.0895458858
